woreda,zone,epi_year,epi_week,popul_tot,popul_malar,mal_inp,mal_outp,rdt_done,rdt_pf_tot,rdt_pv_only,bf_done,bf_pf_tot,bf_pv_only
Mecha,West Gojjam,2014,17,295089.1431,295089.1431,0,21,113,3,4,367,0,14
Mecha,West Gojjam,2014,18,295089.1431,295089.1431,0,34,127,3,16,400,3,12
Mecha,West Gojjam,2014,19,295089.1431,295089.1431,0,41,97,3,14,380,5,19
Mecha,West Gojjam,2014,20,295089.1431,295089.1431,0,46,134,6,18,436,2,20
Mecha,West Gojjam,2014,21,295089.1431,295089.1431,0,26,87,4,4,425,6,12
Mecha,West Gojjam,2014,22,295089.1431,295089.1431,0,28,999,1,12,404,2,13
Mecha,West Gojjam,2014,23,295089.1431,295089.1431,0,34,147,7,12,461,3,12
Mecha,West Gojjam,2014,24,295089.1431,295089.1431,0,27,95,2,14,402,0,11
Mecha,West Gojjam,2014,25,295089.1431,295089.1431,0,38,123,6,16,378,1,15
Mecha,West Gojjam,2014,26,295089.1431,295089.1431,0,28,149,8,7,372,1,12
Mecha,West Gojjam,2014,27,295089.1431,295089.1431,0,20,60,6,4,363,4,6
Mecha,West Gojjam,2014,28,370028,370028,0,26,53,3,8,306,6,9
Mecha,West Gojjam,2014,29,370028,370028,0,29,77,6,3,345,7,13
Mecha,West Gojjam,2014,30,370028,370028,0,34,158,6,5,317,14,9
Mecha,West Gojjam,2014,31,370028,370028,0,26,61,2,3,361,7,14
Mecha,West Gojjam,2014,32,370028,370028,0,26,59,5,3,428,4,14
Mecha,West Gojjam,2014,33,370028,370028,0,43,80,9,9,421,9,16
Mecha,West Gojjam,2014,34,370028,370028,6,54,128,17,9,371,14,14
Mecha,West Gojjam,2014,35,370028,370028,0,99,178,34,8,482,27,30
Mecha,West Gojjam,2014,36,370028,370028,0,103,134,37,4,412,33,29
Mecha,West Gojjam,2014,37,370028,370028,0,106,138,48,5,393,37,16
Mecha,West Gojjam,2014,38,370028,370028,0,154,203,68,22,558,35,29
Mecha,West Gojjam,2014,39,370028,370028,0,116,343,41,12,577,43,20
Mecha,West Gojjam,2014,40,370028,370028,2,116,184,34,12,567,37,35
Mecha,West Gojjam,2014,41,370028,370028,0,67,139,23,19,519,8,17
Mecha,West Gojjam,2014,42,370028,370028,0,44,119,10,9,609,8,17
Mecha,West Gojjam,2014,43,370028,370028,2,218,273,96,18,656,79,27
Mecha,West Gojjam,2014,44,370028,370028,1,544,616,225,30,931,218,72
Mecha,West Gojjam,2014,45,370028,370028,0,408,388,131,16,1115,231,30
Mecha,West Gojjam,2014,46,370028,370028,0,283,417,110,33,825,97,43
Mecha,West Gojjam,2014,47,370028,370028,0,207,417,79,14,802,78,36
Mecha,West Gojjam,2014,48,370028,370028,0,151,364,35,19,629,51,46
Mecha,West Gojjam,2014,49,370028,370028,0,112,216,20,21,583,36,35
Mecha,West Gojjam,2014,50,370028,370028,2,73,179,16,5,551,29,25
Mecha,West Gojjam,2014,51,370028,370028,0,47,50,4,3,606,15,25
Mecha,West Gojjam,2014,52,370028,370028,0,47,105,9,5,489,16,17
Mecha,West Gojjam,2015,1,370028,370028,0,49,102,3,3,447,19,24
Mecha,West Gojjam,2015,2,370028,370028,0,28,99,3,3,457,8,14
Mecha,West Gojjam,2015,3,370028,370028,0,39,72,5,3,514,12,19
Mecha,West Gojjam,2015,4,370028,370028,0,22,71,4,6,383,8,4
